subject	term	payoff	d_nu	lo	hi	p_pos
74	perceptual	10.0	0.1761241387362016	-0.59500347389695	0.7804834037802447	0.7513
1	perceptual	14.0	0.18535100343134425	-0.4902318575449897	0.7862231557889084	0.76215
2	perceptual	14.0	0.06277367564650499	-0.7403127041239831	0.8649850933903496	0.57145
3	perceptual	14.0	0.3116652621310433	-0.1660940709079553	0.8637526899165366	0.9055
4	perceptual	14.0	0.18584097584587642	-0.3688271983408641	0.7291144725723063	0.781
5	perceptual	14.0	0.12892849439444898	-0.6165528756508063	0.7487787896226942	0.6912
6	perceptual	14.0	0.26945336699870354	-0.18526644853900806	0.8090934003643665	0.88735
7	perceptual	14.0	0.11225416259014077	-0.6147307774866126	0.740220212863624	0.66645
9	perceptual	14.0	0.18244155109316043	-0.2532162256208962	0.6694206093625934	0.82325
10	perceptual	14.0	0.23140656656552755	-0.3432412997662688	0.8145966083840408	0.81005
11	perceptual	14.0	0.05600097658463353	-0.6723894869232797	0.6478682250019999	0.6052
18	perceptual	14.0	-0.0037468316535952326	-0.6381906661296015	0.5623032621677073	0.5138
19	perceptual	14.0	0.28925968106999805	-0.28611864604020276	0.8782216934250477	0.8656
21	perceptual	14.0	0.4073322117352424	-0.11718664743088257	1.0529849143434966	0.93355
25	perceptual	14.0	0.0806473626748906	-0.4919934182177805	0.7532900089989656	0.6008
26	perceptual	14.0	0.2168636677518217	-0.1924701702365455	0.6410430550607535	0.8602
29	perceptual	14.0	0.30498369304798306	-0.23159840046165622	0.8945340719667657	0.87565
30	perceptual	14.0	0.4775063673994956	-0.05704720176400275	1.1574161516204944	0.95715
31	perceptual	14.0	0.18986630198266763	-0.4430742332940436	0.7808957386446407	0.7668
34	perceptual	14.0	0.18949061904799608	-0.268346285804496	0.6651661870837482	0.8228
35	perceptual	14.0	0.449070030569928	-0.1845204011675913	1.2587503088548526	0.91935
36	perceptual	14.0	0.07342686345484226	-0.6757247986280709	0.6676610180615151	0.63755
37	perceptual	14.0	0.13410101360030208	-0.4411896794096195	0.6410498192347222	0.71915
45	perceptual	14.0	0.4218171557937697	-0.138501538898398	1.140239658347622	0.92675
46	perceptual	14.0	0.3472712306534917	-0.29251629245169825	1.0996437258337548	0.86515
47	perceptual	14.0	0.10476900870036716	-0.6169488712833652	0.7085413382006962	0.66515
50	perceptual	14.0	0.46336393338528425	-0.032395821573339874	1.181489476580492	0.9659
53	perceptual	14.0	0.49195306239057346	-0.03685077013003521	1.2097243266015398	0.96295
56	perceptual	14.0	0.48509058465758215	-0.15304571615955523	1.329694151845443	0.9303
59	perceptual	14.0	0.4319210777394822	-0.08413308000402328	1.1033923487807709	0.94875
62	perceptual	14.0	0.3535080497032973	-0.21773508686995519	1.020179420471915	0.892
63	perceptual	14.0	0.348848513651742	-0.08251136798741353	0.9094840260819624	0.93935
67	perceptual	14.0	0.2590366529832521	-0.3310994144275924	0.8736612946655863	0.83755
69	perceptual	14.0	0.2701706532614087	-0.19254316958117063	0.7778847012811267	0.8851
72	perceptual	14.0	0.44489388593708107	-0.011024072724516361	1.047320334955994	0.9707
74	perceptual	14.0	-0.07547714490376195	-1.047810673776428	0.6137427358357882	0.4799
1	perceptual	20.0	0.0687897867982732	-0.618907717085723	0.6962414767282147	0.61695
2	perceptual	20.0	-0.14584931514204072	-0.9552100429328173	0.6078484332061066	0.3526
3	perceptual	20.0	0.22332980186878604	-0.3196820986288361	0.8406836197431375	0.80035
4	perceptual	20.0	0.08575261448559227	-0.49108461462530906	0.6414616280045965	0.64725
5	perceptual	20.0	-0.04453456205443602	-0.836483413740285	0.5814955285607264	0.4829
6	perceptual	20.0	0.225934371384027	-0.2698044951911329	0.8036796887759368	0.82485
7	perceptual	20.0	-0.026892053057055894	-0.758636048973434	0.5666728001570316	0.50065
9	perceptual	20.0	0.019104315793736233	-0.48312765268365643	0.5341659817803545	0.52885
10	perceptual	20.0	0.09770330117002936	-0.5149619012244457	0.6947733916371954	0.6471
11	perceptual	20.0	-0.12735221802113741	-0.86987109561192	0.450668467930909	0.37275
18	perceptual	20.0	-0.17425338814399363	-0.8261655232609212	0.36200423584034586	0.29285
19	perceptual	20.0	0.24983583235054466	-0.35699754866267336	0.8806193664316925	0.81885
21	perceptual	20.0	0.23374868014654557	-0.2833149838734417	0.8550248366987123	0.8013
25	perceptual	20.0	-0.05691668477559708	-0.6363999176678823	0.5295950679697227	0.42025
26	perceptual	20.0	0.10492135465055191	-0.3116423250109393	0.5202692688985573	0.70495
29	perceptual	20.0	0.12656291363529007	-0.41821149100260874	0.7070436967601702	0.68355
30	perceptual	20.0	0.3074855154349979	-0.25777545480756137	0.9988661771934859	0.8414
31	perceptual	20.0	0.025969105551864338	-0.6224984345529204	0.6127955626960461	0.5556
34	perceptual	20.0	0.0852938699635821	-0.42646943328472003	0.6058656277334453	0.6499
35	perceptual	20.0	0.4099688982844683	-0.21322504470422735	1.1673644166152481	0.90555
36	perceptual	20.0	-0.09168426950446558	-0.8605542658845807	0.49747034697302567	0.42095
37	perceptual	20.0	0.028439518002279486	-0.5636121977272743	0.5558756458182306	0.5684
