which	subject	payoff	n
safe	4	28.0	46
safe	5	7.0	48
safe	5	10.0	48
safe	5	14.0	48
safe	5	20.0	48
safe	5	28.0	48
safe	6	7.0	48
safe	6	10.0	48
safe	6	14.0	48
safe	6	20.0	48
safe	6	28.0	48
safe	7	7.0	46
safe	7	10.0	46
safe	7	14.0	48
safe	7	20.0	48
safe	7	28.0	48
safe	9	7.0	48
safe	9	10.0	48
safe	9	14.0	48
safe	9	20.0	48
safe	9	28.0	48
safe	10	7.0	48
safe	10	10.0	48
safe	10	14.0	48
safe	10	20.0	48
safe	10	28.0	48
safe	11	7.0	47
safe	11	10.0	48
safe	11	14.0	48
safe	11	20.0	48
safe	11	28.0	48
safe	18	7.0	48
safe	18	10.0	46
safe	18	14.0	47
safe	18	20.0	46
safe	18	28.0	48
safe	19	7.0	48
safe	19	10.0	48
safe	19	14.0	48
safe	19	20.0	48
safe	19	28.0	47
safe	21	7.0	48
safe	21	10.0	48
safe	21	14.0	48
safe	21	20.0	48
safe	21	28.0	48
safe	25	7.0	48
safe	25	10.0	47
safe	25	14.0	47
safe	25	20.0	48
safe	25	28.0	48
safe	26	7.0	48
safe	26	10.0	48
safe	26	14.0	48
safe	26	20.0	48
safe	26	28.0	48
safe	29	7.0	47
safe	29	10.0	47
safe	29	14.0	48
safe	29	20.0	48
safe	29	28.0	48
safe	30	7.0	48
safe	30	10.0	47
safe	30	14.0	48
safe	30	20.0	48
safe	30	28.0	48
safe	31	7.0	47
safe	31	10.0	48
safe	31	14.0	48
safe	31	20.0	48
safe	31	28.0	48
safe	34	7.0	48
safe	34	10.0	48
safe	34	14.0	48
safe	34	20.0	48
safe	34	28.0	48
safe	35	7.0	47
safe	35	10.0	48
safe	35	14.0	48
safe	35	20.0	48
safe	35	28.0	48
safe	36	7.0	48
safe	36	10.0	48
safe	36	14.0	48
safe	36	20.0	48
safe	36	28.0	48
safe	37	7.0	48
safe	37	10.0	48
safe	37	14.0	48
safe	37	20.0	48
safe	37	28.0	48
safe	45	7.0	48
safe	45	10.0	47
safe	45	14.0	48
safe	45	20.0	46
safe	45	28.0	46
safe	46	7.0	48
safe	46	10.0	47
safe	46	14.0	48
safe	46	20.0	48
safe	46	28.0	48
safe	47	7.0	48
safe	47	10.0	45
safe	47	14.0	47
safe	47	20.0	48
safe	47	28.0	48
safe	50	7.0	48
safe	50	10.0	48
safe	50	14.0	48
safe	50	20.0	48
safe	50	28.0	48
safe	53	7.0	48
safe	53	10.0	47
safe	53	14.0	48
safe	53	20.0	48
safe	53	28.0	48
safe	56	7.0	48
safe	56	10.0	47
safe	56	14.0	48
safe	56	20.0	48
safe	56	28.0	48
safe	59	7.0	48
safe	59	10.0	47
safe	59	14.0	48
safe	59	20.0	48
safe	59	28.0	48
safe	62	7.0	47
safe	62	10.0	46
safe	62	14.0	46
safe	62	20.0	46
safe	62	28.0	47
safe	63	7.0	45
safe	63	10.0	45
safe	63	14.0	47
safe	63	20.0	46
safe	63	28.0	48
safe	67	7.0	48
safe	67	10.0	48
safe	67	14.0	47
safe	67	20.0	48
safe	67	28.0	48
safe	69	7.0	48
