order	n_safe	ratio	p_vertex	cause	leverage	effect	noise_vertex	noise_ips	ratio_vertex	ratio_ips
Risky first	17.043478260869563	1.5217391304347827	0.7658406426318123	1.002951322922921	0.29828520449776413	-0.003550473310690916	0.8272341641509295	0.8095134301569832	0.9079755665089735	0.9106552956118636
Risky first	17.956521739130434	1.5217391304347827	0.7713579739017382	1.002559510164013	0.2919874911811735	-0.0019182067838529049	0.821338403652366	0.8025834755835989	0.9065428749119645	0.9088631806144152
Risky first	18.869565217391305	1.5217391304347827	0.7768564669523362	1.0024068655425642	0.2860420767586424	-0.0009420738133114614	0.8153485034129777	0.7956250690865637	0.9050617344068529	0.9072400963092901
Risky first	19.782608695652172	1.5217391304347827	0.7823148125406473	1.0024710205552019	0.2804872778334146	-0.0005655314718794324	0.8093103123928589	0.7886801907675336	0.9035568142933893	0.905789521754301
Risky first	20.695652173913043	1.5217391304347827	0.78767338207722	1.002726628612965	0.2753443600979222	-0.0007229236767676284	0.8032555656179058	0.7817784825070049	0.9020621488291991	0.9045217372948695
Risky first	21.608695652173914	1.5217391304347827	0.7928428359950601	1.0031460109964812	0.2706277777634894	-0.001341965729559913	0.7972052387094188	0.7749399647057651	0.900618969275886	0.9034523264568675
Risky first	22.52173913043478	1.5217391304347827	0.7977126918599721	1.0036996227700594	0.2663532085198638	-0.0023459182271911017	0.7911719050089532	0.7681770578487179	0.8992740901353514	0.9026010650357406
Risky first	23.434782608695652	1.5217391304347827	0.802158951010457	1.004356401008029	0.26254319372667667	-0.0036556005019209303	0.7851613998762261	0.7614960981470593	0.8980787044572291	0.9019910954306161
Risky first	24.34782608695652	1.5217391304347827	0.8060648729674473	1.0050863101522651	0.2592250834015757	-0.005195760409540506	0.7791758837790008	0.7548997135160574	0.8970812272065918	0.9016440605599391
Risky first	25.26086956521739	1.5217391304347827	0.8094253218699988	1.0058762947704512	0.2563900404674305	-0.006927603027987561	0.7732276329870638	0.7483962502638818	0.8962837950076753	0.901550622785119
Risky first	26.173913043478258	1.5217391304347827	0.8122840360951877	1.0067216715370586	0.254010834773628	-0.00882987628575238	0.7673324700425682	0.7419959150241073	0.8956672379559958	0.9016876189360405
Risky first	27.08695652173913	1.5217391304347827	0.814679322538789	1.0076180022938923	0.25206116735104145	-0.010881947169980255	0.7615035023141979	0.735706819377209	0.8952136349663777	0.9020333744910752
Risky first	28.0	1.5217391304347827	0.816644664074369	1.0085610405818677	0.250514471263545	-0.013063769326383201	0.7557514417332205	0.7295352443596582	0.8949062947233455	0.9025676238294409
Risky first	7.0	1.6521739130434783	0.5301379127021383	1.011447917026806	0.4271421279682941	-0.02963894823292934	0.836063227806885	0.8450367067622478	0.9943081296489216	1.005690886616221
Risky first	7.913043478260869	1.6521739130434783	0.5570366901842062	1.0105682143937993	0.41317666385073193	-0.028862177476019824	0.8471257850673591	0.8498927547807783	0.9819699264677932	0.9923475951789683
Risky first	8.826086956521738	1.6521739130434783	0.5851012296042546	1.0099059549833354	0.40154545910764233	-0.02813812978346797	0.8530860238489718	0.8512971490942997	0.9702819322318708	0.9798935013737032
Risky first	9.73913043478261	1.6521739130434783	0.6111281538483269	1.0091371316462778	0.3910000561518379	-0.026674718215526805	0.8554409279762428	0.8502415270451665	0.9603085943526838	0.9690830604003362
Risky first	10.652173913043478	1.6521739130434783	0.6335056218576195	1.0081447171674383	0.3811335591680146	-0.024155134114365318	0.8552387567541072	0.8474080776912909	0.9523514195299551	0.9601080524860348
Risky first	11.565217391304348	1.6521739130434783	0.6517248523367365	1.0069289808708912	0.371909096975047	-0.0206377769951106	0.8532268727938815	0.8432875817498537	0.9463119012932799	0.9528688783552377
Risky first	12.478260869565217	1.6521739130434783	0.6660519971110677	1.005557710999652	0.3633274441598511	-0.016439890456129147	0.849940492027681	0.8382388982722552	0.9418840820537792	0.9471188015770066
Risky first	13.391304347826086	1.6521739130434783	0.6772911707377739	1.0041434369373734	0.35527160993998386	-0.012021261959643259	0.8457516078496945	0.8325193647648972	0.9386442042566496	0.9425334173236181
Risky first	14.304347826086957	1.6521739130434783	0.6866063338001064	1.0028338949341178	0.34750252366921747	-0.007885046395807782	0.8409036035005462	0.8263053943217624	0.9360897296660003	0.9387425096087806
Risky first	15.217391304347826	1.6521739130434783	0.6951706734347435	1.0017749095968702	0.33978991338920683	-0.004450133215832652	0.8355569904580329	0.8197219937220034	0.9337474189365581	0.9354047361914815
Risky first	16.130434782608695	1.6521739130434783	0.7033429640927781	1.000998581302745	0.33221519195277127	-0.001811148743368518	0.8298661713104627	0.8128955595933325	0.9314758164576286	0.9324059707919023
Risky first	17.043478260869563	1.6521739130434783	0.7112153183381721	1.0004984050197334	0.3249383605303303	5.430287575913795e-05	0.8239539341725132	0.805929520985906	0.9292436317051737	0.9297067713957708
Risky first	17.956521739130434	1.6521739130434783	0.7188357035119344	1.00026064526923	0.31808548905742323	0.0011930156187509589	0.8179082719902783	0.7989002087362005	0.9270411930418722	0.9272828219432198
Risky first	18.869565217391305	1.6521739130434783	0.7262145832346341	1.000266207536883	0.3117379860563088	0.0016630187278457997	0.8117915890194893	0.7918631786658706	0.9248752388195726	0.9251214475788228
Risky first	19.782608695652172	1.6521739130434783	0.7333282247330706	1.0004919695726553	0.30593865272862636	0.0015285916416493128	0.8056474357216953	0.784858093942819	0.9227650449157874	0.9232190172405959
Risky first	20.695652173913043	1.6521739130434783	0.740122167976903	1.000911733420429	0.3007045703208705	0.0008588359423545855	0.7995053244001826	0.7779124040223422	0.9207395347687265	0.9215790037740853
Risky first	21.608695652173914	1.6521739130434783	0.7465158366159163	1.0014969108530243	0.2960404898256564	-0.0002726584620774686	0.7933841236535943	0.7710440811555134	0.9188351179380881	0.9202105321982695
Risky first	22.52173913043478	1.6521739130434783	0.7524078545773518	1.002217023639854	0.2919501267936313	-0.0017880410319901507	0.787294434909077	0.7642636493045208	0.9170940709940756	0.9191272902294393
Risky first	23.434782608695652	1.6521739130434783	0.7576811299399846	1.0030400793007477	0.28844486884440884	-0.0036055669933817702	0.7812402626470784	0.7575756987889147	0.915563321567606	0.9183467066700274
Risky first	24.34782608695652	1.6521739130434783	0.7622223361319785	1.0039351606046023	0.2855434902053784	-0.0056445093813304315	0.7752220831170962	0.7509812615357844	0.9142871175267463	0.917884984172933
Risky first	25.26086956521739	1.6521739130434783	0.7660309541837804	1.0048885558667695	0.2832245367247869	-0.007857212543694314	0.769250684494694	0.7444872667283232	0.9132624229778276	0.9177269573535759
Risky first	26.173913043478258	1.6521739130434783	0.7691568945221388	1.0058950639644306	0.2814364679498296	-0.010213317402029243	0.7633405566122009	0.7381026482943411	0.9124645410371495	0.9178435778718382
Risky first	27.08695652173913	1.6521739130434783	0.7716455194720245	1.006949778478933	0.28011661589921233	-0.012684900739357685	0.7575035885984888	0.7318343561351364	0.9118702203891471	0.9182075164223875
Risky first	28.0	1.6521739130434783	0.773539652426837	1.0080480280713275	0.27919175384288086	-0.01524779865069037	0.75174937661002	0.7256876078898787	0.911457602084235	0.9187930384516337
Risky first	7.0	1.7826086956521738	0.4476980979917532	1.0081197461346472	0.4228373241845298	-0.018139929373761965	0.8370285191868593	0.8445379400134531	1.0287490244947808	1.0371022054099444
Risky first	7.913043478260869	1.7826086956521738	0.4818232304048018	1.0079431676231525	0.4147545266624811	-0.020032704433769755	0.8466918759012865	0.8484282648680912	1.0121849832325758	1.02022493822003
Risky first	8.826086956521738	1.7826086956521738	0.5147147486540883	1.0076178030704208	0.4079685270660808	-0.02110703236250172	0.8518070312835868	0.8492532498626775	0.997731727121429	1.005332250935751
